state,county,ag_land_cropland_acres,ag_land_cropland_number_of_operations,ag_land_cropland_harvested_acres,ag_land_cropland_harvested_number_of_operations,ag_land_incl_buildings_asset_value_measured_in_$_acre,ag_land_incl_buildings_asset_value_measured_in_$_operation,ag_land_incl_buildings_operations_with_asset_value,ag_land_irrigated_acres,ag_land_irrigated_number_of_operations,animal_totals_incl_products_sales_measured_in_$,barley_acres_harvested,barley_operations_with_area_harvested,barley_production_measured_in_bu,beans_dry_edible_(excl_chickpeas_&_lima)_acres_harvested,beans_dry_edible_(excl_chickpeas_&_lima)_operations_with_area_harvested,beans_dry_edible_(excl_chickpeas_&_lima)_production_measured_in_cwt,cattle_cows_beef_inventory,cattle_cows_beef_operations_with_inventory,cattle_cows_milk_inventory,cattle_cows_milk_operations_with_inventory,cattle_incl_calves_inventory,cattle_incl_calves_operations_with_inventory,cattle_incl_calves_operations_with_sales,cattle_incl_calves_sales_measured_in_head,chickens_broilers_operations_with_sales,chickens_broilers_sales_measured_in_head,chickens_layers_inventory,chickens_layers_operations_with_inventory,commodity_totals_operations_with_sales,commodity_totals_sales_measured_in_$,commodity_totals_sales_measured_in_$_operation,corn_grain_acres_harvested,corn_grain_operations_with_area_harvested,corn_grain_production_measured_in_bu,corn_silage_acres_harvested,corn_silage_operations_with_area_harvested,corn_silage_production_measured_in_tons,crop_totals_sales_measured_in_$,expense_totals_operating_expense_measured_in_$,expense_totals_operating_expense_measured_in_$_operation,farm_operations_acres_operated,farm_operations_area_operated_measured_in_acres_operation,farm_operations_area_operated_measured_in_acres_operation_median,farm_operations_number_of_operations,govt_programs_federal_operations_with_receipts,govt_programs_federal_receipts_measured_in_$,hay_&_haylage_acres_harvested,hay_&_haylage_operations_with_area_harvested,hay_&_haylage_production_measured_in_tons_dry_basis,hogs_inventory,hogs_operations_with_inventory,hogs_operations_with_sales,hogs_sales_measured_in_head,income_farm_related_operations_with_receipts,income_farm_related_receipts_measured_in_$,income_net_cash_farm_of_operations_net_income_measured_in_$,income_net_cash_farm_of_operations_net_income_measured_in_$_operation,income_net_cash_farm_of_operations_operations_with_net_income,machinery_totals_asset_value_measured_in_$,machinery_totals_asset_value_measured_in_$_operation,oats_acres_harvested,oats_operations_with_area_harvested,oats_production_measured_in_bu,orchards_acres_bearing_&_non_bearing,orchards_operations_with_area_bearing_&_non_bearing,potatoes_acres_harvested,potatoes_operations_with_area_harvested,sheep_incl_lambs_inventory,sheep_incl_lambs_operations_with_inventory,sorghum_grain_acres_harvested,sorghum_grain_operations_with_area_harvested,sorghum_grain_production_measured_in_bu,sorghum_silage_acres_harvested,sorghum_silage_operations_with_area_harvested,sorghum_silage_production_measured_in_tons,soybeans_acres_harvested,soybeans_operations_with_area_harvested,soybeans_production_measured_in_bu,sugarbeets_acres_harvested,sugarbeets_operations_with_area_harvested,sugarbeets_production_measured_in_tons,sunflower_acres_harvested,sunflower_operations_with_area_harvested,sunflower_production_measured_in_lb,sweet_potatoes_acres_harvested,sweet_potatoes_operations_with_area_harvested,vegetable_totals_in_the_open_acres_harvested,vegetable_totals_in_the_open_operations_with_area_harvested,wheat_acres_harvested,wheat_operations_with_area_harvested,wheat_production_measured_in_bu,wheat_spring_(excl_durum)_acres_harvested,wheat_spring_(excl_durum)_operations_with_area_harvested,wheat_spring_(excl_durum)_production_measured_in_bu,wheat_spring_durum_acres_harvested,wheat_spring_durum_operations_with_area_harvested,wheat_spring_durum_production_measured_in_bu,wheat_winter_acres_harvested,wheat_winter_operations_with_area_harvested,wheat_winter_production_measured_in_bu
colorado,adams,"586,828",570,"283,538",384,"1,613","1,256,762",905,"21,557",214,"22,937,000",0,1,0,935,6,"21,670","6,235",234,"1,698",32,"14,986",302,222,"6,653",26,654,"4,505",220,467,"126,500,000","139,779","42,882",73,"3,603,391","1,540",10,"39,597","103,563,000","117,262,000","129,571","705,289",779,40,905,236,"5,037,000","13,406",202,"27,499",0,74,71,0,282,"9,577,000","23,852,000","26,355",905,"117,126,000","129,421",0,0,0,22,15,0,2,593,45,"10,236",20,"228,106","1,288",5,"2,384","1,239",8,"39,501",910,6,"27,225","8,124",16,"6,213,176",0,0,368,28,"193,026",151,"7,727,255",0,0,0,0,0,0,"193,026",151,"7,727,255"
colorado,alamosa,"81,082",178,"59,432",149,"2,120","1,453,990",280,"79,543",181,"8,086,000","10,666",31,"1,281,067",0,0,0,"7,197",88,8,3,"11,898",99,79,"7,363",2,0,405,22,111,"89,334,000","319,051",0,0,0,0,2,0,"81,248,000","72,426,000","258,666","192,030",686,166,280,64,"836,000","27,326",120,"90,902",34,5,3,0,134,"3,483,000","21,227,000","75,811",280,"76,381,000","272,790",380,7,"46,000",0,0,0,30,"4,465",37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"16,071",30,"1,525",9,"122,710",625,9,"55,210",900,3,"67,500",0,0,0
colorado,arapahoe,"136,849",419,"44,558",206,"2,260","751,389",851,"1,155",46,"5,881,000",0,0,0,0,2,0,"4,325",263,33,19,"8,343",343,227,"4,223",17,730,"4,646",259,570,"26,695,000","31,369",0,3,0,0,0,0,"20,815,000","37,698,000","44,299","282,912",332,38,851,128,"1,705,000","4,715",139,"5,627",732,78,79,829,223,"3,050,000","-6,248,000","-7,342",851,"54,166,000","63,650",0,0,0,8,5,3,6,457,37,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,12,"35,106",46,"1,308,309",0,0,0,0,0,0,"35,106",46,"1,308,309"
colorado,archuleta,"12,532",206,"8,124",151,"3,104","1,634,748",399,"18,332",200,"9,755,000",236,8,"7,208",0,0,0,0,134,0,1,"8,487",168,147,"10,172",3,58,437,26,187,"11,157,000","27,963",0,0,0,0,0,0,"1,403,000","15,247,000","38,213","210,147",527,72,399,10,"143,000","7,417",127,"12,963",15,3,3,11,140,"1,836,000","-2,111,000","-5,291",399,"26,744,000","67,028",0,0,0,16,9,1,6,228,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0
colorado,baca,"742,370",538,0,253,784,"1,729,456",667,"45,519",91,"61,689,000",0,1,0,0,1,0,"26,091",238,7,6,"55,493",251,235,"50,391",0,0,476,18,302,"114,083,000","171,039","49,206",73,"5,660,274","1,441",10,"22,074","52,394,000","120,288,000","180,342","1,471,783","2,207",960,667,560,"19,467,000","15,932",86,"39,107",0,0,1,0,290,"12,474,000","25,737,000","38,586",667,"98,912,000","149,867",0,1,0,0,0,0,0,0,2,"79,903",115,"3,630,643","1,700",6,"22,613",0,1,0,0,0,0,"5,961",8,"3,172,492",0,0,0,0,"133,845",182,"4,012,111",0,0,0,0,0,0,"133,845",182,"4,012,111"
colorado,bent,"93,280",156,0,98,690,"1,850,149",274,"38,828",92,"44,385,000",0,0,0,0,1,0,"16,269",143,8,4,"27,518",147,132,"20,686",0,0,403,30,103,"60,817,000","221,962","12,066",44,"2,094,138",298,6,"5,778","16,433,000","50,086,000","182,796","734,630","2,681",400,274,141,"1,854,000","22,848",84,"71,576",0,2,3,0,115,"2,662,000","15,247,000","55,647",274,"45,607,000","166,448",0,2,0,0,0,0,0,211,7,"3,224",14,"292,926",246,5,"3,820",0,0,0,0,0,0,379,3,"219,450",0,0,0,0,"3,547",36,"215,168",0,1,0,0,0,0,0,35,0
colorado,boulder,"38,128",793,"28,868",704,"12,571","1,329,691","1,012","27,232",712,"5,519,000",968,7,"75,693",263,5,"6,297","3,978",144,17,10,"5,986",188,142,"3,721",5,910,"5,031",180,579,"43,898,000","43,378","2,564",15,"421,460","1,246",7,"33,284","38,380,000","54,094,000","53,453","107,043",106,15,"1,012",57,"501,000","20,351",551,"46,587",518,28,39,739,280,"9,776,000","81,000",80,"1,012","67,843,000","67,305",0,2,0,65,58,8,14,955,44,0,1,0,0,0,0,0,0,0,704,6,"21,325",0,1,0,3,3,722,92,"1,588",11,"127,600",0,0,0,0,0,0,"1,588",11,"127,600"
colorado,broomfield,"7,695",31,"2,221",17,"5,467","1,223,811",38,"1,231",12,"138,000",0,0,0,0,0,0,89,9,0,0,268,11,5,319,0,0,24,8,31,"613,000","16,125",0,1,0,0,2,0,"475,000","713,000","18,775","8,506",224,25,38,1,0,601,16,"1,462",0,0,0,0,2,0,"-76,000","-1,995",38,"1,836,000","48,312",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,660,3,"11,080"
colorado,cheyenne,"599,063",317,"308,850",200,838,"2,389,477",377,"23,554",48,"21,408,000",0,0,0,0,0,0,"18,647",131,12,3,"34,782",140,145,"25,160",0,0,0,2,117,"89,226,000","236,675","69,591",78,"7,976,634",0,0,0,"67,819,000","76,511,000","202,948","1,075,562","2,853","1,172",377,309,"10,125,000","19,291",77,"31,818",0,2,6,50,189,"4,580,000","27,420,000","72,733",377,"98,277,000","260,682",0,0,0,0,0,0,0,0,0,"48,191",70,"2,221,997","3,280",9,"40,472",258,3,"15,816",0,0,0,"3,620",12,"4,184,000",0,0,0,0,"172,664",166,"8,446,362",0,0,0,0,0,0,"172,664",166,"8,446,362"
colorado,clear creek,924,21,454,19,"3,157","990,682",33,286,17,"121,000",0,0,0,0,0,0,0,7,0,0,100,8,11,113,0,0,0,0,18,"174,000","5,261",0,0,0,0,0,0,"53,000","357,000","10,831","10,357",314,55,33,0,0,448,16,347,0,0,0,0,13,"21,000",0,0,33,"1,805,000","54,704",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
