"","state","state.fips","county","county.code","commodity","data.item","domain.category","value"
"Colorado.1","COLORADO",8,"ADAMS",1,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","","905"
"Colorado.2","COLORADO",8,"ADAMS",1,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED: (1.0 TO 9.9 ACRES)","150"
"Colorado.3","COLORADO",8,"ADAMS",1,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED: (10.0 TO 49.9 ACRES)","411"
"Colorado.4","COLORADO",8,"ADAMS",1,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED: (50 TO 179 ACRES)","139"
"Colorado.5","COLORADO",8,"ADAMS",1,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED: (180 TO 499 ACRES)","67"
"Colorado.6","COLORADO",8,"ADAMS",1,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED: (500 TO 999 ACRES)","39"
"Colorado.7","COLORADO",8,"ADAMS",1,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED: (1,000 OR MORE ACRES)","99"
"Colorado.8","COLORADO",8,"ADAMS",1,"FARM OPERATIONS","FARM OPERATIONS - ACRES OPERATED","","705,289"
"Colorado.9","COLORADO",8,"ADAMS",1,"FARM OPERATIONS","FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION","","779"
"Colorado.10","COLORADO",8,"ADAMS",1,"FARM OPERATIONS","FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION, MEDIAN","","40"
"Colorado.11","COLORADO",8,"ADAMS",1,"AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION","","1,256,762"
"Colorado.12","COLORADO",8,"ADAMS",1,"AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","","1,613"
"Colorado.13","COLORADO",8,"ADAMS",1,"MACHINERY TOTALS","MACHINERY TOTALS - ASSET VALUE, MEASURED IN $","","117,126,000"
"Colorado.14","COLORADO",8,"ADAMS",1,"MACHINERY TOTALS","MACHINERY TOTALS - ASSET VALUE, MEASURED IN $ / OPERATION","","129,421"
"Colorado.15","COLORADO",8,"ADAMS",1,"AG LAND","AG LAND, CROPLAND - NUMBER OF OPERATIONS","","570"
"Colorado.16","COLORADO",8,"ADAMS",1,"AG LAND","AG LAND, CROPLAND - ACRES","","586,828"
"Colorado.17","COLORADO",8,"ADAMS",1,"AG LAND","AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS","","384"
"Colorado.18","COLORADO",8,"ADAMS",1,"AG LAND","AG LAND, CROPLAND, HARVESTED - ACRES","","283,538"
"Colorado.19","COLORADO",8,"ADAMS",1,"AG LAND","AG LAND, IRRIGATED - NUMBER OF OPERATIONS","","214"
"Colorado.20","COLORADO",8,"ADAMS",1,"AG LAND","AG LAND, IRRIGATED - ACRES","","21,557"
"Colorado.21","COLORADO",8,"ADAMS",1,"COMMODITY TOTALS","COMMODITY TOTALS - SALES, MEASURED IN $","","126,500,000"
"Colorado.22","COLORADO",8,"ADAMS",1,"COMMODITY TOTALS","COMMODITY TOTALS - SALES, MEASURED IN $ / OPERATION","","139,779"
"Colorado.23","COLORADO",8,"ADAMS",1,"CROP TOTALS","CROP TOTALS - SALES, MEASURED IN $","","103,563,000"
"Colorado.24","COLORADO",8,"ADAMS",1,"ANIMAL TOTALS","ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $","","22,937,000"
"Colorado.25","COLORADO",8,"ADAMS",1,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","",""
"Colorado.26","COLORADO",8,"ADAMS",1,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (LESS THAN 2,500 $)","467"
"Colorado.27","COLORADO",8,"ADAMS",1,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (2,500 TO 4,999 $)","90"
"Colorado.28","COLORADO",8,"ADAMS",1,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (5,000 TO 9,999 $)","75"
"Colorado.29","COLORADO",8,"ADAMS",1,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (10,000 TO 24,999 $)","82"
"Colorado.30","COLORADO",8,"ADAMS",1,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (25,000 TO 49,999 $)","49"
"Colorado.31","COLORADO",8,"ADAMS",1,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (50,000 TO 99,999 $)","39"
"Colorado.32","COLORADO",8,"ADAMS",1,"COMMODITY TOTALS","COMMODITY TOTALS - OPERATIONS WITH SALES","FARM SALES: (100,000 OR MORE $)","103"
"Colorado.33","COLORADO",8,"ADAMS",1,"GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - OPERATIONS WITH RECEIPTS","","236"
"Colorado.34","COLORADO",8,"ADAMS",1,"GOVT PROGRAMS","GOVT PROGRAMS, FEDERAL - RECEIPTS, MEASURED IN $","","5,037,000"
"Colorado.35","COLORADO",8,"ADAMS",1,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - OPERATIONS WITH RECEIPTS","","282"
"Colorado.36","COLORADO",8,"ADAMS",1,"INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $","","9,577,000"
"Colorado.37","COLORADO",8,"ADAMS",1,"EXPENSE TOTALS","EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $","","117,262,000"
"Colorado.38","COLORADO",8,"ADAMS",1,"EXPENSE TOTALS","EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION","","129,571"
"Colorado.39","COLORADO",8,"ADAMS",1,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME","","905"
"Colorado.40","COLORADO",8,"ADAMS",1,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $","","23,852,000"
"Colorado.41","COLORADO",8,"ADAMS",1,"INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF OPERATIONS - NET INCOME, MEASURED IN $ / OPERATION","","26,355"
"Colorado.42","COLORADO",8,"ADAMS",1,"CATTLE","CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY","","302"
"Colorado.43","COLORADO",8,"ADAMS",1,"CATTLE","CATTLE, INCL CALVES - INVENTORY","","14,986"
"Colorado.44","COLORADO",8,"ADAMS",1,"CATTLE","CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY","","234"
"Colorado.45","COLORADO",8,"ADAMS",1,"CATTLE","CATTLE, COWS, BEEF - INVENTORY","","6,235"
"Colorado.46","COLORADO",8,"ADAMS",1,"CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","","32"
"Colorado.47","COLORADO",8,"ADAMS",1,"CATTLE","CATTLE, COWS, MILK - INVENTORY","","1,698"
"Colorado.48","COLORADO",8,"ADAMS",1,"CATTLE","CATTLE, INCL CALVES - OPERATIONS WITH SALES","","222"
"Colorado.49","COLORADO",8,"ADAMS",1,"CATTLE","CATTLE, INCL CALVES - SALES, MEASURED IN HEAD","","6,653"
"Colorado.50","COLORADO",8,"ADAMS",1,"HOGS","HOGS - OPERATIONS WITH INVENTORY","","74"
"Colorado.51","COLORADO",8,"ADAMS",1,"HOGS","HOGS - INVENTORY","","(D)"
"Colorado.52","COLORADO",8,"ADAMS",1,"HOGS","HOGS - OPERATIONS WITH SALES","","71"
"Colorado.53","COLORADO",8,"ADAMS",1,"HOGS","HOGS - SALES, MEASURED IN HEAD","","(D)"
"Colorado.54","COLORADO",8,"ADAMS",1,"SHEEP","SHEEP, INCL LAMBS - OPERATIONS WITH INVENTORY","","45"
"Colorado.55","COLORADO",8,"ADAMS",1,"SHEEP","SHEEP, INCL LAMBS - INVENTORY","","593"
"Colorado.56","COLORADO",8,"ADAMS",1,"CHICKENS","CHICKENS, LAYERS - OPERATIONS WITH INVENTORY","","220"
"Colorado.57","COLORADO",8,"ADAMS",1,"CHICKENS","CHICKENS, LAYERS - INVENTORY","","4,505"
"Colorado.58","COLORADO",8,"ADAMS",1,"CHICKENS","CHICKENS, BROILERS - OPERATIONS WITH SALES","","26"
"Colorado.59","COLORADO",8,"ADAMS",1,"CHICKENS","CHICKENS, BROILERS - SALES, MEASURED IN HEAD","","654"
"Colorado.60","COLORADO",8,"ADAMS",1,"CORN","CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","","73"
"Colorado.61","COLORADO",8,"ADAMS",1,"CORN","CORN, GRAIN - ACRES HARVESTED","","42,882"
"Colorado.62","COLORADO",8,"ADAMS",1,"CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU","","3,603,391"
"Colorado.63","COLORADO",8,"ADAMS",1,"CORN","CORN, SILAGE - OPERATIONS WITH AREA HARVESTED","","10"
"Colorado.64","COLORADO",8,"ADAMS",1,"CORN","CORN, SILAGE - ACRES HARVESTED","","1,540"
"Colorado.65","COLORADO",8,"ADAMS",1,"CORN","CORN, SILAGE - PRODUCTION, MEASURED IN TONS","","39,597"
"Colorado.66","COLORADO",8,"ADAMS",1,"WHEAT","WHEAT - OPERATIONS WITH AREA HARVESTED","","151"
"Colorado.67","COLORADO",8,"ADAMS",1,"WHEAT","WHEAT - ACRES HARVESTED","","193,026"
"Colorado.68","COLORADO",8,"ADAMS",1,"WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","","7,727,255"
"Colorado.69","COLORADO",8,"ADAMS",1,"WHEAT","WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED","","151"
"Colorado.70","COLORADO",8,"ADAMS",1,"WHEAT","WHEAT, WINTER - ACRES HARVESTED","","193,026"
"Colorado.71","COLORADO",8,"ADAMS",1,"WHEAT","WHEAT, WINTER - PRODUCTION, MEASURED IN BU","","7,727,255"
"Colorado.72","COLORADO",8,"ADAMS",1,"BARLEY","BARLEY - OPERATIONS WITH AREA HARVESTED","","1"
"Colorado.73","COLORADO",8,"ADAMS",1,"BARLEY","BARLEY - ACRES HARVESTED","","(D)"
"Colorado.74","COLORADO",8,"ADAMS",1,"BARLEY","BARLEY - PRODUCTION, MEASURED IN BU","","(D)"
"Colorado.75","COLORADO",8,"ADAMS",1,"SORGHUM","SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED","","20"
"Colorado.76","COLORADO",8,"ADAMS",1,"SORGHUM","SORGHUM, GRAIN - ACRES HARVESTED","","10,236"
"Colorado.77","COLORADO",8,"ADAMS",1,"SORGHUM","SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU","","228,106"
"Colorado.78","COLORADO",8,"ADAMS",1,"SORGHUM","SORGHUM, SILAGE - OPERATIONS WITH AREA HARVESTED","","5"
"Colorado.79","COLORADO",8,"ADAMS",1,"SORGHUM","SORGHUM, SILAGE - ACRES HARVESTED","","1,288"
"Colorado.80","COLORADO",8,"ADAMS",1,"SORGHUM","SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS","","2,384"
"Colorado.81","COLORADO",8,"ADAMS",1,"SOYBEANS","SOYBEANS - OPERATIONS WITH AREA HARVESTED","","8"
"Colorado.82","COLORADO",8,"ADAMS",1,"SOYBEANS","SOYBEANS - ACRES HARVESTED","","1,239"
"Colorado.83","COLORADO",8,"ADAMS",1,"SOYBEANS","SOYBEANS - PRODUCTION, MEASURED IN BU","","39,501"
"Colorado.84","COLORADO",8,"ADAMS",1,"BEANS","BEANS, DRY EDIBLE, (EXCL CHICKPEAS & LIMA) - OPERATIONS WITH AREA HARVESTED","","6"
"Colorado.85","COLORADO",8,"ADAMS",1,"BEANS","BEANS, DRY EDIBLE, (EXCL CHICKPEAS & LIMA) - ACRES HARVESTED","","935"
"Colorado.86","COLORADO",8,"ADAMS",1,"BEANS","BEANS, DRY EDIBLE, (EXCL CHICKPEAS & LIMA) - PRODUCTION, MEASURED IN CWT","","21,670"
"Colorado.87","COLORADO",8,"ADAMS",1,"HAY & HAYLAGE","HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED","","202"
"Colorado.88","COLORADO",8,"ADAMS",1,"HAY & HAYLAGE","HAY & HAYLAGE - ACRES HARVESTED","","13,406"
